,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
52,2021-08-20 02:22:26,0.0,-1.2213481644843337e-09,1.2920311074854881e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2021-08-20 02:52:26,0.0,-1.2913383045486268e-09,1.2878760931971282e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2021-08-20 03:22:26,0.0,-1.2657821884817129e-09,1.253584965162678e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2021-08-20 03:52:26,0.0,-1.3074506747699934e-09,1.3128925144320422e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2021-08-20 04:22:26,0.0,-1.341937510832252e-09,1.3350368091579045e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2021-08-20 04:52:26,0.0,-1.2559483846448524e-09,1.2523915504753047e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2021-08-20 05:22:26,0.0,-1.2705439879562022e-09,1.2788674571585786e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2021-08-20 05:52:26,0.0,-1.319708801406067e-09,1.291310443642433e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2021-08-20 06:22:26,0.0,-1.3561346473797153e-09,1.1849270989284025e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2021-08-20 06:52:26,0.0,-1.235671736720027e-09,1.251828460624745e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2021-08-20 07:22:26,0.0,-1.2310788741187395e-09,1.2746628139913238e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2021-08-20 07:52:26,0.0,-1.2403319986652558e-09,1.283815979083179e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2021-08-20 08:22:27,0.0,-1.316693469761803e-09,1.2369342380531517e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2021-08-20 08:52:26,0.0,-1.2807362544170956e-09,1.3086403821441547e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2021-08-20 09:22:26,0.0,-1.2555523940902931e-09,1.2131742094380795e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2021-08-20 09:52:26,0.0,-1.2964096861142628e-09,1.2726421828645828e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2021-08-20 10:22:26,0.0,-1.3544229605854744e-09,1.2986277463707994e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2021-08-20 10:52:26,0.0,-1.2804343904862397e-09,1.2272263648963997e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2021-08-20 11:22:26,0.0,-1.3980275956186706e-09,1.2944663097729307e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2021-08-20 11:52:26,0.0,-1.3279395515100076e-09,1.2071952235690754e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2021-08-20 12:22:27,0.0,-1.2746382340159565e-09,1.3130951023332321e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
